period_start,join_fin_year,country,age_bracket,n
2021-06-01,2021,United States,25-34,1
2021-06-01,2021,United States,65+,1
2021-07-01,2021,Australia,,25674
2021-07-01,2021,Australia,0-17,35
2021-07-01,2021,Australia,18-24,157
2021-07-01,2021,Australia,25-34,464
2021-07-01,2021,Australia,35-39,165
2021-07-01,2021,Australia,40-54,340
2021-07-01,2021,Australia,55-64,103
2021-07-01,2021,Australia,65+,43
2021-07-01,2021,New Zealand,,9051
2021-07-01,2021,New Zealand,0-17,14
2021-07-01,2021,New Zealand,18-24,47
2021-07-01,2021,New Zealand,25-34,120
2021-07-01,2021,New Zealand,35-39,46
2021-07-01,2021,New Zealand,40-54,92
2021-07-01,2021,New Zealand,55-64,23
2021-07-01,2021,New Zealand,65+,14
2021-07-01,2021,United Kingdom,,41
2021-07-01,2021,United Kingdom,55-64,1
2021-07-01,2021,United States,,20
2021-07-01,2021,United States,0-17,1
2021-08-01,2022,Australia,,16848
2021-08-01,2022,Australia,0-17,335
2021-08-01,2022,Australia,18-24,523
2021-08-01,2022,Australia,25-34,1007
2021-08-01,2022,Australia,35-39,457
2021-08-01,2022,Australia,40-54,1042
2021-08-01,2022,Australia,55-64,362
2021-08-01,2022,Australia,65+,137
2021-08-01,2022,New Zealand,,6398
2021-08-01,2022,New Zealand,0-17,136
2021-08-01,2022,New Zealand,18-24,205
2021-08-01,2022,New Zealand,25-34,439
2021-08-01,2022,New Zealand,35-39,178
2021-08-01,2022,New Zealand,40-54,338
2021-08-01,2022,New Zealand,55-64,134
2021-08-01,2022,New Zealand,65+,33
2021-08-01,2022,United Kingdom,,20
2021-08-01,2022,United Kingdom,0-17,1
2021-08-01,2022,United Kingdom,18-24,2
2021-08-01,2022,United Kingdom,25-34,1
2021-08-01,2022,United Kingdom,35-39,3
2021-08-01,2022,United Kingdom,40-54,4
2021-08-01,2022,United States,,19
2021-08-01,2022,United States,40-54,2
2021-09-01,2022,Australia,,3215
2021-09-01,2022,Australia,0-17,121
2021-09-01,2022,Australia,18-24,184
2021-09-01,2022,Australia,25-34,368
2021-09-01,2022,Australia,35-39,167
